[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-11-06 23:45:11,589: Logging to: logs/2018_Nov_06/BrakeControllerBridge/23_45_11.log
[BrakeControllerBridge @ brake_controller_bridge.py:31][DEBUG] 2018-11-06 23:45:17,111: start_packet: 'Packet(global_sequence_num=-1, data=[30.0, 0.0, 0.0], name=first_packet, receive_time=1541565917.1108856, timestamp=0, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,253: packet: 'Packet(global_sequence_num=0, data=[0.32, 12.03, 3.32, 40.8, 0.0, 0, 0.0], name=brake, receive_time=1541565917.2515018, timestamp=5.059312, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,749: packet: 'Packet(global_sequence_num=1, data=[0.36, 12.03, 3.4, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565917.3521352, timestamp=5.160036, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,749: packet: 'Packet(global_sequence_num=2, data=[0.32, 12.03, 3.2, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565917.4521008, timestamp=5.260388, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,749: packet: 'Packet(global_sequence_num=3, data=[0.35, 12.03, 3.4, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565917.5544124, timestamp=5.361756, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,750: packet: 'Packet(global_sequence_num=4, data=[0.34, 12.03, 3.32, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565917.655319, timestamp=5.46314, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,755: packet: 'Packet(global_sequence_num=5, data=[0.33, 12.03, 3.4, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565917.7552514, timestamp=5.563492, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,987: packet: 'Packet(global_sequence_num=6, data=[0.33, 12.02, 3.52, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565917.8564095, timestamp=5.66486, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:17,988: packet: 'Packet(global_sequence_num=7, data=[0.33, 12.03, 3.4, 38.4, 12.02, 0, 0.0], name=brake, receive_time=1541565917.9576666, timestamp=5.766244, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:18,059: packet: 'Packet(global_sequence_num=8, data=[0.32, 12.02, 3.32, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565918.0584486, timestamp=5.866588, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:18,160: packet: 'Packet(global_sequence_num=9, data=[0.33, 12.03, 3.32, 40.8, 12.02, 0, 0.0], name=brake, receive_time=1541565918.1597064, timestamp=5.967972, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:18,420: packet: 'Packet(global_sequence_num=10, data=[0.32, 12.02, 3.2, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565918.2594256, timestamp=6.068324, sequence_num=0)'
