[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-10-30 22:35:04,979: Logging to: logs/2018_Oct_30/BrakeControllerBridge/22_35_04.log
[BrakeControllerBridge @ brake_controller_bridge.py:30][DEBUG] 2018-10-30 22:35:10,509: start_packet: 'Packet(data=[30.0, 0.0, 0.0], timestamp=0, global_sequence_num=-1, receive_time=1540953310.509394, sequence_num=0, name=first_packet)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:10,652: packet: 'Packet(data=[1.25, 12.02, 12.72, 152.0, 0.0, 0, 0.0], timestamp=5.068564, global_sequence_num=0, receive_time=1540953310.6510787, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,208: packet: 'Packet(data=[1.25, 12.02, 12.6, 152.0, 12.03, 0, 0.0], timestamp=5.169252, global_sequence_num=1, receive_time=1540953310.7509003, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,209: packet: 'Packet(data=[1.25, 12.03, 12.6, 152.0, 12.03, 0, 0.0], timestamp=5.269604, global_sequence_num=2, receive_time=1540953310.8513844, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,210: packet: 'Packet(data=[1.23, 12.02, 12.32, 153.6, 12.03, 0, 0.0], timestamp=5.370972, global_sequence_num=3, receive_time=1540953310.9527695, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,211: packet: 'Packet(data=[1.24, 12.02, 12.6, 150.4, 12.03, 0, 0.0], timestamp=5.471332, global_sequence_num=4, receive_time=1540953311.0534067, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,212: packet: 'Packet(data=[1.28, 12.02, 12.52, 149.6, 12.03, 0, 0.0], timestamp=5.5727, global_sequence_num=5, receive_time=1540953311.154848, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,478: packet: 'Packet(data=[1.25, 12.02, 12.4, 153.6, 12.03, 0, 0.0], timestamp=5.674084, global_sequence_num=6, receive_time=1540953311.2553186, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,479: packet: 'Packet(data=[1.26, 12.02, 12.6, 150.4, 12.03, 0, 0.0], timestamp=5.774436, global_sequence_num=7, receive_time=1540953311.355264, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,479: packet: 'Packet(data=[1.26, 12.02, 12.32, 148.0, 12.03, 0, 0.0], timestamp=5.875804, global_sequence_num=8, receive_time=1540953311.457494, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,559: packet: 'Packet(data=[1.28, 12.02, 12.32, 150.4, 12.03, 0, 0.0], timestamp=5.977188, global_sequence_num=9, receive_time=1540953311.5586865, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,658: packet: 'Packet(data=[1.26, 12.03, 12.4, 150.4, 12.03, 0, 0.0], timestamp=6.077532, global_sequence_num=10, receive_time=1540953311.6581829, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,914: packet: 'Packet(data=[1.26, 12.02, 12.8, 150.4, 12.03, 0, 0.0], timestamp=6.1789, global_sequence_num=11, receive_time=1540953311.759649, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,915: packet: 'Packet(data=[1.24, 12.02, 12.72, 150.4, 12.03, 0, 0.0], timestamp=6.279268, global_sequence_num=12, receive_time=1540953311.8601072, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:11,962: packet: 'Packet(data=[1.23, 12.02, 12.4, 148.0, 12.03, 0, 0.0], timestamp=6.380636, global_sequence_num=13, receive_time=1540953311.962097, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,063: packet: 'Packet(data=[1.28, 12.02, 12.4, 150.4, 12.03, 0, 0.0], timestamp=6.48202, global_sequence_num=14, receive_time=1540953312.0628376, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,319: packet: 'Packet(data=[1.25, 12.02, 12.4, 150.4, 12.03, 0, 0.0], timestamp=6.582372, global_sequence_num=15, receive_time=1540953312.1628878, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,320: packet: 'Packet(data=[1.25, 12.02, 12.52, 152.0, 12.03, 0, 0.0], timestamp=6.683736, global_sequence_num=16, receive_time=1540953312.2643368, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,366: packet: 'Packet(data=[1.23, 12.02, 12.52, 152.0, 12.03, 0, 0.0], timestamp=6.785124, global_sequence_num=17, receive_time=1540953312.3654587, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,466: packet: 'Packet(data=[1.25, 12.02, 12.6, 152.0, 12.03, 0, 0.0], timestamp=6.885468, global_sequence_num=18, receive_time=1540953312.46593, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,723: packet: 'Packet(data=[1.26, 12.02, 12.4, 149.6, 12.03, 0, 0.0], timestamp=6.986852, global_sequence_num=19, receive_time=1540953312.5667102, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,723: packet: 'Packet(data=[1.25, 12.03, 12.6, 150.4, 12.03, 0, 0.0], timestamp=7.08822, global_sequence_num=20, receive_time=1540953312.6688786, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,770: packet: 'Packet(data=[1.26, 12.02, 12.52, 150.4, 12.03, 0, 0.0], timestamp=7.18858, global_sequence_num=21, receive_time=1540953312.7692902, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:12,871: packet: 'Packet(data=[1.25, 12.03, 12.6, 152.0, 12.03, 0, 0.0], timestamp=7.289948, global_sequence_num=22, receive_time=1540953312.8704286, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,137: packet: 'Packet(data=[1.26, 12.02, 12.52, 149.6, 12.03, 0, 0.0], timestamp=7.390308, global_sequence_num=23, receive_time=1540953312.9701586, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,138: packet: 'Packet(data=[1.25, 12.03, 12.6, 149.6, 12.03, 0, 0.0], timestamp=7.491672, global_sequence_num=24, receive_time=1540953313.071585, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,173: packet: 'Packet(data=[2.13, 12.01, 25.52, 273.6, 12.03, 0, 0.0], timestamp=7.593056, global_sequence_num=25, receive_time=1540953313.1731608, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,273: packet: 'Packet(data=[1.43, 12.02, 14.6, 176.8, 12.01, 0, 0.0], timestamp=7.693412, global_sequence_num=26, receive_time=1540953313.2727342, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,523: packet: 'Packet(data=[1.39, 12.02, 13.72, 164.8, 12.02, 0, 0.0], timestamp=7.79478, global_sequence_num=27, receive_time=1540953313.374428, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,523: packet: 'Packet(data=[1.39, 12.02, 13.6, 168.0, 12.02, 0, 0.0], timestamp=7.896164, global_sequence_num=28, receive_time=1540953313.4753265, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,577: packet: 'Packet(data=[1.33, 12.02, 13.4, 160.0, 12.03, 0, 0.0], timestamp=7.996508, global_sequence_num=29, receive_time=1540953313.576677, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,677: packet: 'Packet(data=[1.35, 12.02, 13.4, 166.4, 12.02, 0, 0.0], timestamp=8.097892, global_sequence_num=30, receive_time=1540953313.6770134, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,923: packet: 'Packet(data=[1.35, 12.02, 13.4, 158.4, 12.02, 0, 0.0], timestamp=8.19926, global_sequence_num=31, receive_time=1540953313.7780945, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,924: packet: 'Packet(data=[1.39, 12.02, 13.6, 160.0, 12.03, 0, 0.0], timestamp=8.300644, global_sequence_num=32, receive_time=1540953313.879277, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:13,981: packet: 'Packet(data=[1.33, 12.02, 13.4, 164.8, 12.03, 0, 0.0], timestamp=8.402008, global_sequence_num=33, receive_time=1540953313.9813623, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,082: packet: 'Packet(data=[1.33, 12.02, 13.2, 158.4, 12.03, 0, 0.0], timestamp=8.502372, global_sequence_num=34, receive_time=1540953314.0819805, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,340: packet: 'Packet(data=[1.31, 12.03, 13.32, 164.0, 12.02, 0, 0.0], timestamp=8.603752, global_sequence_num=35, receive_time=1540953314.182602, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,341: packet: 'Packet(data=[1.33, 12.02, 13.6, 164.0, 12.03, 0, 0.0], timestamp=8.705124, global_sequence_num=36, receive_time=1540953314.2842906, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,384: packet: 'Packet(data=[1.38, 12.02, 13.6, 160.0, 12.03, 0, 0.0], timestamp=8.805476, global_sequence_num=37, receive_time=1540953314.3838632, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,486: packet: 'Packet(data=[1.35, 12.02, 13.2, 161.6, 12.03, 0, 0.0], timestamp=8.906844, global_sequence_num=38, receive_time=1540953314.485805, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,728: packet: 'Packet(data=[1.32, 12.02, 13.12, 158.4, 12.03, 0, 0.0], timestamp=9.008228, global_sequence_num=39, receive_time=1540953314.5865443, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,729: packet: 'Packet(data=[1.39, 12.02, 13.4, 161.6, 12.03, 0, 0.0], timestamp=9.10858, global_sequence_num=40, receive_time=1540953314.686701, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,789: packet: 'Packet(data=[1.35, 12.02, 13.32, 158.4, 12.03, 0, 0.0], timestamp=9.209948, global_sequence_num=41, receive_time=1540953314.7886984, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:14,889: packet: 'Packet(data=[1.37, 12.02, 13.0, 158.4, 12.03, 0, 0.0], timestamp=9.310308, global_sequence_num=42, receive_time=1540953314.8890252, sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:35][DEBUG] 2018-10-30 22:35:15,138: packet: 'Packet(data=[1.35, 12.02, 12.92, 161.6, 12.03, 0, 0.0], timestamp=9.411696, global_sequence_num=43, receive_time=1540953314.9902759, sequence_num=0, name=brake)'
