[BrakeControllerBridge @ factory.py:85][DEBUG] 2019-03-01 00:40:48,623: Logging to: logs/2019_Mar_01/BrakeControllerBridge/00_40_48.log
[BrakeControllerBridge @ brake_controller_bridge.py:31][DEBUG] 2019-03-01 00:40:54,174: start_packet: 'Packet(receive_time=1551418854.1741657, timestamp=0, name=first_packet, sequence_num=0, data=[30.0, 0.0, 0.0], global_sequence_num=-1)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:54,318: packet: 'Packet(receive_time=1551418854.316423, timestamp=5.092736, name=brake, sequence_num=0, data=[1.1, 12.02, 10.8, 131.2, 0.0, 0, 0.0], global_sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:54,822: packet: 'Packet(receive_time=1551418854.4166262, timestamp=5.193816, name=brake, sequence_num=0, data=[1.09, 12.02, 11.0, 132.0, 12.03, 0, 0.0], global_sequence_num=1)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:54,823: packet: 'Packet(receive_time=1551418854.5181415, timestamp=5.295204, name=brake, sequence_num=0, data=[1.1, 12.02, 10.92, 129.6, 12.03, 0, 0.0], global_sequence_num=2)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:54,823: packet: 'Packet(receive_time=1551418854.6191213, timestamp=5.395556, name=brake, sequence_num=0, data=[1.1, 12.03, 10.92, 131.2, 12.03, 0, 0.0], global_sequence_num=3)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:54,823: packet: 'Packet(receive_time=1551418854.7202353, timestamp=5.496944, name=brake, sequence_num=0, data=[1.08, 12.02, 10.6, 133.6, 12.03, 0, 0.0], global_sequence_num=4)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:54,823: packet: 'Packet(receive_time=1551418854.8206532, timestamp=5.597268, name=brake, sequence_num=0, data=[1.08, 12.03, 11.0, 131.2, 12.03, 0, 0.0], global_sequence_num=5)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,083: packet: 'Packet(receive_time=1551418854.9213796, timestamp=5.698652, name=brake, sequence_num=0, data=[1.06, 12.02, 10.6, 131.2, 12.03, 0, 0.0], global_sequence_num=6)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,084: packet: 'Packet(receive_time=1551418855.0226643, timestamp=5.800032, name=brake, sequence_num=0, data=[1.08, 12.03, 11.12, 131.2, 12.03, 0, 0.0], global_sequence_num=7)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,123: packet: 'Packet(receive_time=1551418855.1230223, timestamp=5.900388, name=brake, sequence_num=0, data=[1.13, 12.03, 10.92, 133.6, 12.03, 0, 0.0], global_sequence_num=8)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,224: packet: 'Packet(receive_time=1551418855.223936, timestamp=6.001756, name=brake, sequence_num=0, data=[1.09, 12.03, 11.0, 129.6, 12.03, 0, 0.0], global_sequence_num=9)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,487: packet: 'Packet(receive_time=1551418855.3260455, timestamp=6.10314, name=brake, sequence_num=0, data=[1.08, 12.02, 11.0, 135.2, 12.03, 0, 0.0], global_sequence_num=10)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,488: packet: 'Packet(receive_time=1551418855.4258883, timestamp=6.20348, name=brake, sequence_num=0, data=[1.06, 12.03, 10.8, 129.6, 12.03, 0, 0.0], global_sequence_num=11)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,527: packet: 'Packet(receive_time=1551418855.5273237, timestamp=6.304868, name=brake, sequence_num=0, data=[1.09, 12.03, 10.92, 129.6, 12.03, 0, 0.0], global_sequence_num=12)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,629: packet: 'Packet(receive_time=1551418855.6290042, timestamp=6.406236, name=brake, sequence_num=0, data=[1.09, 12.03, 11.0, 133.6, 12.03, 0, 0.0], global_sequence_num=13)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,894: packet: 'Packet(receive_time=1551418855.7292447, timestamp=6.506592, name=brake, sequence_num=0, data=[1.08, 12.03, 10.52, 124.8, 12.03, 0, 0.0], global_sequence_num=14)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,895: packet: 'Packet(receive_time=1551418855.829988, timestamp=6.607964, name=brake, sequence_num=0, data=[1.1, 12.03, 11.0, 131.2, 12.03, 0, 0.0], global_sequence_num=15)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:55,931: packet: 'Packet(receive_time=1551418855.930574, timestamp=6.708324, name=brake, sequence_num=0, data=[1.09, 12.03, 10.8, 131.2, 12.03, 0, 0.0], global_sequence_num=16)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,032: packet: 'Packet(receive_time=1551418856.0315034, timestamp=6.809692, name=brake, sequence_num=0, data=[1.09, 12.02, 10.8, 131.2, 12.03, 0, 0.0], global_sequence_num=17)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,308: packet: 'Packet(receive_time=1551418856.1333463, timestamp=6.911076, name=brake, sequence_num=0, data=[1.1, 12.02, 11.2, 132.0, 12.03, 0, 0.0], global_sequence_num=18)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,309: packet: 'Packet(receive_time=1551418856.232686, timestamp=7.011424, name=brake, sequence_num=0, data=[1.06, 12.03, 11.0, 127.2, 12.03, 0, 0.0], global_sequence_num=19)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,336: packet: 'Packet(receive_time=1551418856.3365147, timestamp=7.114768, name=brake, sequence_num=0, data=[1.05, 12.03, 10.92, 131.2, 12.03, 0, 0.0], global_sequence_num=20)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,437: packet: 'Packet(receive_time=1551418856.4365053, timestamp=7.215192, name=brake, sequence_num=0, data=[1.08, 12.02, 10.8, 131.2, 12.03, 0, 0.0], global_sequence_num=21)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,659: packet: 'Packet(receive_time=1551418856.5373902, timestamp=7.315564, name=brake, sequence_num=0, data=[1.08, 12.02, 10.92, 129.6, 12.03, 0, 0.0], global_sequence_num=22)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,661: packet: 'Packet(receive_time=1551418856.6399832, timestamp=7.418336, name=brake, sequence_num=0, data=[1.09, 12.02, 11.0, 133.6, 12.03, 0, 0.0], global_sequence_num=23)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,740: packet: 'Packet(receive_time=1551418856.7401142, timestamp=7.518296, name=brake, sequence_num=0, data=[1.1, 12.02, 10.6, 132.0, 12.03, 0, 0.0], global_sequence_num=24)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:56,843: packet: 'Packet(receive_time=1551418856.8424778, timestamp=7.62086, name=brake, sequence_num=0, data=[1.08, 12.03, 10.72, 132.0, 12.03, 0, 0.0], global_sequence_num=25)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,083: packet: 'Packet(receive_time=1551418856.9446127, timestamp=7.723492, name=brake, sequence_num=0, data=[1.09, 12.02, 10.8, 129.6, 12.03, 0, 0.0], global_sequence_num=26)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,083: packet: 'Packet(receive_time=1551418857.044491, timestamp=7.823476, name=brake, sequence_num=0, data=[1.08, 12.02, 10.92, 131.2, 12.03, 0, 0.0], global_sequence_num=27)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,148: packet: 'Packet(receive_time=1551418857.147434, timestamp=7.926116, name=brake, sequence_num=0, data=[1.1, 12.02, 10.92, 127.2, 12.03, 0, 0.0], global_sequence_num=28)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,250: packet: 'Packet(receive_time=1551418857.2497306, timestamp=8.028768, name=brake, sequence_num=0, data=[1.06, 12.02, 10.8, 124.8, 12.03, 0, 0.0], global_sequence_num=29)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,489: packet: 'Packet(receive_time=1551418857.3495753, timestamp=8.1289, name=brake, sequence_num=0, data=[1.1, 12.03, 11.0, 132.0, 12.03, 0, 0.0], global_sequence_num=30)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,489: packet: 'Packet(receive_time=1551418857.452796, timestamp=8.231512, name=brake, sequence_num=0, data=[1.06, 12.02, 10.92, 133.6, 12.03, 0, 0.0], global_sequence_num=31)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,552: packet: 'Packet(receive_time=1551418857.5519502, timestamp=8.331516, name=brake, sequence_num=0, data=[1.07, 12.03, 10.92, 131.2, 12.03, 0, 0.0], global_sequence_num=32)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,655: packet: 'Packet(receive_time=1551418857.6552012, timestamp=8.434152, name=brake, sequence_num=0, data=[1.06, 12.02, 11.12, 131.2, 12.03, 0, 0.0], global_sequence_num=33)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,883: packet: 'Packet(receive_time=1551418857.7571857, timestamp=8.53694, name=brake, sequence_num=0, data=[1.08, 12.02, 10.92, 131.2, 12.03, 0, 0.0], global_sequence_num=34)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,884: packet: 'Packet(receive_time=1551418857.8577523, timestamp=8.63688, name=brake, sequence_num=0, data=[1.1, 12.02, 11.0, 131.2, 12.03, 0, 0.0], global_sequence_num=35)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:57,960: packet: 'Packet(receive_time=1551418857.9600809, timestamp=8.739324, name=brake, sequence_num=0, data=[1.09, 12.02, 11.0, 131.2, 12.03, 0, 0.0], global_sequence_num=36)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:58,060: packet: 'Packet(receive_time=1551418858.0594637, timestamp=8.83942, name=brake, sequence_num=0, data=[1.09, 12.02, 11.0, 131.2, 12.03, 0, 0.0], global_sequence_num=37)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:58,301: packet: 'Packet(receive_time=1551418858.162266, timestamp=8.942056, name=brake, sequence_num=0, data=[1.06, 12.02, 11.12, 127.2, 12.03, 0, 0.0], global_sequence_num=38)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 00:40:58,301: packet: 'Packet(receive_time=1551418858.2646692, timestamp=9.044816, name=brake, sequence_num=0, data=[1.08, 12.03, 11.0, 132.0, 12.03, 0, 0.0], global_sequence_num=39)'
