[BrakeControllerBridge @ factory.py:85][DEBUG] 2019-03-01 22:08:46,506: Logging to: logs/2019_Mar_01/BrakeControllerBridge/22_08_46.log
[BrakeControllerBridge @ brake_controller_bridge.py:31][DEBUG] 2019-03-01 22:08:52,057: start_packet: 'Packet(timestamp=0, global_sequence_num=-1, sequence_num=0, data=[30.0, 0.0, 0.0], receive_time=1551496132.0571966, name=first_packet)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,198: packet: 'Packet(timestamp=5.092436, global_sequence_num=0, sequence_num=0, data=[0.32, 12.03, 3.0, 38.4, 0.0, 0, 0.0], receive_time=1551496132.1973066, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,695: packet: 'Packet(timestamp=5.193828, global_sequence_num=1, sequence_num=0, data=[0.33, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496132.2997904, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,695: packet: 'Packet(timestamp=5.295192, global_sequence_num=2, sequence_num=0, data=[0.28, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496132.4006803, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,696: packet: 'Packet(timestamp=5.395556, global_sequence_num=3, sequence_num=0, data=[0.31, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496132.500341, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,696: packet: 'Packet(timestamp=5.496928, global_sequence_num=4, sequence_num=0, data=[0.34, 12.03, 3.2, 39.2, 12.03, 0, 0.0], receive_time=1551496132.6016402, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,703: packet: 'Packet(timestamp=5.597284, global_sequence_num=5, sequence_num=0, data=[0.33, 12.03, 3.0, 38.4, 12.03, 0, 0.0], receive_time=1551496132.702856, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,909: packet: 'Packet(timestamp=5.698656, global_sequence_num=6, sequence_num=0, data=[0.31, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496132.8035934, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:52,909: packet: 'Packet(timestamp=5.800036, global_sequence_num=7, sequence_num=0, data=[0.31, 12.02, 2.92, 36.8, 12.03, 0, 0.0], receive_time=1551496132.904748, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,006: packet: 'Packet(timestamp=5.900388, global_sequence_num=8, sequence_num=0, data=[0.32, 12.02, 3.2, 40.8, 12.02, 0, 0.0], receive_time=1551496133.0057995, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,107: packet: 'Packet(timestamp=6.001752, global_sequence_num=9, sequence_num=0, data=[0.34, 12.03, 3.2, 38.4, 12.02, 0, 0.0], receive_time=1551496133.1068933, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,318: packet: 'Packet(timestamp=6.10314, global_sequence_num=10, sequence_num=0, data=[0.31, 12.02, 3.52, 39.2, 12.03, 0, 0.0], receive_time=1551496133.2080505, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,318: packet: 'Packet(timestamp=6.203484, global_sequence_num=11, sequence_num=0, data=[0.33, 12.03, 3.2, 36.8, 12.02, 0, 0.0], receive_time=1551496133.308121, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,409: packet: 'Packet(timestamp=6.304868, global_sequence_num=12, sequence_num=0, data=[0.32, 12.03, 3.0, 38.4, 12.03, 0, 0.0], receive_time=1551496133.4091587, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,510: packet: 'Packet(timestamp=6.40624, global_sequence_num=13, sequence_num=0, data=[0.31, 12.02, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496133.510415, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,715: packet: 'Packet(timestamp=6.506596, global_sequence_num=14, sequence_num=0, data=[0.32, 12.03, 3.2, 38.4, 12.02, 0, 0.0], receive_time=1551496133.6110773, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,715: packet: 'Packet(timestamp=6.60796, global_sequence_num=15, sequence_num=0, data=[0.31, 12.03, 3.32, 36.8, 12.03, 0, 0.0], receive_time=1551496133.712549, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,812: packet: 'Packet(timestamp=6.708324, global_sequence_num=16, sequence_num=0, data=[0.3, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496133.8120086, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:53,913: packet: 'Packet(timestamp=6.809688, global_sequence_num=17, sequence_num=0, data=[0.31, 12.03, 3.0, 38.4, 12.03, 0, 0.0], receive_time=1551496133.91371, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,127: packet: 'Packet(timestamp=6.911076, global_sequence_num=18, sequence_num=0, data=[0.33, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496134.0145202, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,127: packet: 'Packet(timestamp=7.01142, global_sequence_num=19, sequence_num=0, data=[0.33, 12.03, 3.0, 39.2, 12.03, 0, 0.0], receive_time=1551496134.1154592, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,217: packet: 'Packet(timestamp=7.112804, global_sequence_num=20, sequence_num=0, data=[0.3, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496134.2169387, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,318: packet: 'Packet(timestamp=7.214172, global_sequence_num=21, sequence_num=0, data=[0.33, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496134.3179743, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,535: packet: 'Packet(timestamp=7.314536, global_sequence_num=22, sequence_num=0, data=[0.28, 12.03, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496134.4179685, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,535: packet: 'Packet(timestamp=7.4159, global_sequence_num=23, sequence_num=0, data=[0.31, 12.03, 3.0, 38.4, 12.03, 0, 0.0], receive_time=1551496134.5190752, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,620: packet: 'Packet(timestamp=7.517284, global_sequence_num=24, sequence_num=0, data=[0.33, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496134.6204245, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,722: packet: 'Packet(timestamp=7.618652, global_sequence_num=25, sequence_num=0, data=[0.33, 12.03, 3.2, 40.8, 12.03, 0, 0.0], receive_time=1551496134.7220824, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,927: packet: 'Packet(timestamp=7.720036, global_sequence_num=26, sequence_num=0, data=[0.33, 12.02, 3.2, 35.2, 12.03, 0, 0.0], receive_time=1551496134.8226542, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:54,927: packet: 'Packet(timestamp=7.82038, global_sequence_num=27, sequence_num=0, data=[0.29, 12.03, 3.2, 39.2, 12.02, 0, 0.0], receive_time=1551496134.9238415, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,024: packet: 'Packet(timestamp=7.921764, global_sequence_num=28, sequence_num=0, data=[0.29, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496135.0246603, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,126: packet: 'Packet(timestamp=8.023132, global_sequence_num=29, sequence_num=0, data=[0.32, 12.03, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496135.125774, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,335: packet: 'Packet(timestamp=8.123492, global_sequence_num=30, sequence_num=0, data=[0.32, 12.03, 3.12, 38.4, 12.03, 0, 0.0], receive_time=1551496135.2259264, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,335: packet: 'Packet(timestamp=8.224856, global_sequence_num=31, sequence_num=0, data=[0.31, 12.03, 3.2, 39.2, 12.03, 0, 0.0], receive_time=1551496135.3272884, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,429: packet: 'Packet(timestamp=8.326244, global_sequence_num=32, sequence_num=0, data=[0.33, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496135.428968, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,529: packet: 'Packet(timestamp=8.426596, global_sequence_num=33, sequence_num=0, data=[0.32, 12.03, 3.2, 38.4, 12.03, 0, 0.0], receive_time=1551496135.5291927, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,730: packet: 'Packet(timestamp=8.527964, global_sequence_num=34, sequence_num=0, data=[0.31, 12.03, 3.52, 39.2, 12.03, 0, 0.0], receive_time=1551496135.6298034, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,730: packet: 'Packet(timestamp=8.628324, global_sequence_num=35, sequence_num=0, data=[0.31, 12.02, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496135.730665, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,831: packet: 'Packet(timestamp=8.729692, global_sequence_num=36, sequence_num=0, data=[0.31, 12.03, 2.92, 40.8, 12.02, 0, 0.0], receive_time=1551496135.831341, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:55,933: packet: 'Packet(timestamp=8.831076, global_sequence_num=37, sequence_num=0, data=[0.3, 12.03, 3.4, 38.4, 12.03, 0, 0.0], receive_time=1551496135.9334846, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,134: packet: 'Packet(timestamp=8.931428, global_sequence_num=38, sequence_num=0, data=[0.31, 12.03, 3.2, 44.8, 12.03, 0, 0.0], receive_time=1551496136.0332718, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,135: packet: 'Packet(timestamp=9.0328, global_sequence_num=39, sequence_num=0, data=[0.32, 12.03, 3.52, 40.8, 12.03, 0, 0.0], receive_time=1551496136.1349065, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,235: packet: 'Packet(timestamp=9.13418, global_sequence_num=40, sequence_num=0, data=[0.33, 12.03, 3.32, 38.4, 12.03, 0, 0.0], receive_time=1551496136.2355103, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,336: packet: 'Packet(timestamp=9.234532, global_sequence_num=41, sequence_num=0, data=[0.32, 12.03, 3.12, 39.2, 12.03, 0, 0.0], receive_time=1551496136.3363752, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 22:08:56,535: packet: 'Packet(timestamp=9.3359, global_sequence_num=42, sequence_num=0, data=[0.32, 12.02, 3.12, 40.8, 12.03, 0, 0.0], receive_time=1551496136.4374602, name=brake)'
