[BrakeControllerBridge @ factory.py:85][DEBUG] 2019-03-01 23:23:22,161: Logging to: logs/2019_Mar_01/BrakeControllerBridge/23_23_22.log
[BrakeControllerBridge @ brake_controller_bridge.py:31][DEBUG] 2019-03-01 23:23:27,952: start_packet: 'Packet(timestamp=0, data=[30.0, 0.0, 0.0], receive_time=1551500607.952325, sequence_num=0, global_sequence_num=-1, name=first_packet)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,094: packet: 'Packet(timestamp=5.093568, data=[0.26, 12.03, 2.52, 30.4, 0.0, 0, 0.0], receive_time=1551500608.0927303, sequence_num=0, global_sequence_num=0, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,689: packet: 'Packet(timestamp=5.194852, data=[0.25, 12.03, 2.4, 27.2, 12.03, 0, 0.0], receive_time=1551500608.194438, sequence_num=0, global_sequence_num=1, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,690: packet: 'Packet(timestamp=5.29622, data=[0.24, 12.03, 2.52, 27.2, 12.03, 0, 0.0], receive_time=1551500608.295423, sequence_num=0, global_sequence_num=2, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,691: packet: 'Packet(timestamp=5.396564, data=[0.26, 12.03, 2.52, 31.2, 12.03, 0, 0.0], receive_time=1551500608.395828, sequence_num=0, global_sequence_num=3, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,692: packet: 'Packet(timestamp=5.497956, data=[0.23, 12.03, 2.6, 28.8, 12.03, 0, 0.0], receive_time=1551500608.4967604, sequence_num=0, global_sequence_num=4, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,693: packet: 'Packet(timestamp=5.598308, data=[0.24, 12.02, 2.6, 28.8, 12.03, 0, 0.0], receive_time=1551500608.5974357, sequence_num=0, global_sequence_num=5, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,944: packet: 'Packet(timestamp=5.699676, data=[0.25, 12.03, 2.32, 28.8, 12.02, 0, 0.0], receive_time=1551500608.6986356, sequence_num=0, global_sequence_num=6, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,946: packet: 'Packet(timestamp=5.80106, data=[0.26, 12.02, 2.32, 28.8, 12.03, 0, 0.0], receive_time=1551500608.8006094, sequence_num=0, global_sequence_num=7, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:28,947: packet: 'Packet(timestamp=5.901404, data=[0.24, 12.03, 2.32, 26.4, 12.02, 0, 0.0], receive_time=1551500608.9006088, sequence_num=0, global_sequence_num=8, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,001: packet: 'Packet(timestamp=6.002788, data=[0.26, 12.03, 2.32, 30.4, 12.03, 0, 0.0], receive_time=1551500609.0012598, sequence_num=0, global_sequence_num=9, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,103: packet: 'Packet(timestamp=6.104156, data=[0.22, 12.03, 2.6, 27.2, 12.03, 0, 0.0], receive_time=1551500609.1027255, sequence_num=0, global_sequence_num=10, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,388: packet: 'Packet(timestamp=6.2045, data=[0.26, 12.03, 2.6, 28.8, 12.03, 0, 0.0], receive_time=1551500609.2030377, sequence_num=0, global_sequence_num=11, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,389: packet: 'Packet(timestamp=6.305892, data=[0.27, 12.03, 2.4, 32.8, 12.03, 0, 0.0], receive_time=1551500609.3043017, sequence_num=0, global_sequence_num=12, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,406: packet: 'Packet(timestamp=6.40726, data=[0.25, 12.02, 2.32, 27.2, 12.03, 0, 0.0], receive_time=1551500609.406093, sequence_num=0, global_sequence_num=13, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,508: packet: 'Packet(timestamp=6.508644, data=[0.24, 12.03, 2.72, 27.2, 12.02, 0, 0.0], receive_time=1551500609.5079386, sequence_num=0, global_sequence_num=14, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,756: packet: 'Packet(timestamp=6.610012, data=[0.24, 12.02, 2.6, 30.4, 12.03, 0, 0.0], receive_time=1551500609.6087708, sequence_num=0, global_sequence_num=15, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,757: packet: 'Packet(timestamp=6.710356, data=[0.24, 12.03, 2.4, 32.8, 12.02, 0, 0.0], receive_time=1551500609.708133, sequence_num=0, global_sequence_num=16, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,810: packet: 'Packet(timestamp=6.81174, data=[0.23, 12.03, 2.52, 30.4, 12.03, 0, 0.0], receive_time=1551500609.8101304, sequence_num=0, global_sequence_num=17, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:29,911: packet: 'Packet(timestamp=6.913124, data=[0.24, 12.03, 2.4, 28.8, 12.03, 0, 0.0], receive_time=1551500609.9110246, sequence_num=0, global_sequence_num=18, name=brake)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2019-03-01 23:23:30,173: packet: 'Packet(timestamp=7.013476, data=[0.23, 12.02, 2.2, 30.4, 12.03, 0, 0.0], receive_time=1551500610.011861, sequence_num=0, global_sequence_num=19, name=brake)'
